"","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$"
"Portugal","1721.7","1986.9","1959.4","1918.6","2207.7","2213.1","2279.5","2322.0","2067.1","1812.6","1773.5","1679.2","1405.9","1105.2","988.8","967.1"
"Qatar","2029.5","2104.4","1833.4","1548.3","1375.1","1257.9","1321.5","1327.6","1322.2","1327.7","1322.8","1285.7","1206.3","736.8","658.0","602.3"
"Republic of Korea","2012.7","1995.7","1796.9","1646.9","1585.4","1436.8","1162.1","1184.5","1295.5","1137.6","937.1","753.4","670.4","555.2","505.6","473.9"
"Republic of Moldova","186.4","230.8","231.7","223.6","215.0","198.3","208.5","186.4","135.4","100.1","79.3","64.6","38.4","32.5","24.9","20.5"
"Romania","442.4","503.5","495.4","401.7","426.7","472.2","449.4","521.3","415.1","291.0","254.5","190.8","143.5","96.6","78.8","69.9"
"Russian Federation","523.8","742.3","811.2","760.1","684.8","567.4","516.7","609.9","461.9","352.7","272.0","209.2","164.7","140.8","118.1","95.4"
"Rwanda","56.7","59.3","56.8","60.0","58.4","55.0","51.3","47.3","38.4","31.1","21.5","17.5","16.1","8.6","8.8","10.0"
"Saint Kitts and Nevis","907.0","896.8","834.8","797.0","829.9","784.8","810.4","809.2","721.0","694.5","571.4","535.4","487.1","482.3","461.4","439.7"
"Saint Lucia","481.6","454.3","544.7","516.2","505.9","476.5","425.0","424.8","412.4","346.3","318.9","301.6","276.7","257.9","249.6","245.9"
"Saint Vincent and the Grenadines","284.0","282.8","288.7","285.3","265.9","276.7","249.7","247.0","224.8","198.2","189.5","183.2","178.5","170.4","147.6","140.5"
"Samoa","222.9","259.2","257.4","208.7","226.7","192.5","180.3","170.6","153.3","138.5","126.2","108.9","85.7","84.6","68.8","73.1"
"San Marino","3243.1","3881.5","4024.4","4009.5","4267.1","3973.9","4177.1","4305.5","3758.2","3056.6","2719.7","2808.7","2379.2","2135.9","2094.5","2065.5"
"Sao Tome and Principe","159.9","162.0","147.0","105.3","73.2","59.6","80.7","55.4","58.4","58.8","96.0","83.7","89.6","67.3","68.3","53.9"
"Saudi Arabia","1194.1","1248.8","1091.3","991.7","859.6","671.0","657.7","575.1","574.5","544.3","469.7","399.2","380.7","367.8","385.7","384.4"
"Senegal","36.1","42.0","40.7","39.7","42.7","40.1","42.5","47.0","39.0","37.6","35.7","41.1","34.7","26.0","24.0","21.9"
"Serbia","491.3","608.9","627.5","559.8","619.2","545.4","575.9","672.9","547.2","371.6","307.6","274.4","230.1","173.3","111.0","65.2"
"Seychelles","491.8","490.2","497.0","506.0","391.0","380.4","238.6","275.7","372.4","418.2","406.9","411.3","385.0","348.2","335.1","349.3"
"Sierra Leone","106.7","139.8","82.2","50.0","47.0","36.8","38.5","37.1","31.8","29.6","28.5","26.1","25.5","25.2","22.2","13.8"
"Singapore","2280.3","2221.2","2099.6","1848.3","1690.6","1503.0","1318.5","1275.1","1084.9","945.8","863.3","829.2","828.9","752.3","706.7","820.7"
"Slovakia","1108.4","1287.6","1370.1","1319.5","1350.7","1295.3","1314.8","1251.7","1029.3","729.0","601.3","519.4","344.5","254.1","212.2","203.5"
"Slovenia","1771.6","2052.6","2028.3","1964.0","2136.5","2008.2","2116.5","2170.7","1793.6","1541.7","1449.2","1368.6","1203.1","944.9","826.2","796.6"
"Solomon Islands","152.1","167.9","134.8","172.6","123.7","93.7","91.5","97.3","90.8","88.9","92.7","67.1","55.8","65.0","80.7","53.9"
"Somalia","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"South Africa","470.8","509.8","526.5","579.7","597.4","539.6","413.1","372.4","386.0","362.5","354.1","322.7","254.3","169.0","195.2","221.8"
"South Sudan","28.0","29.3","26.3","24.7","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
